,事件序号,事件起始编号,事件终止编号,事件起始编号,事件终止编号
0,1,3,3,3,3
1,2,57,57,57,57
2,3,382,385,382,385
3,4,405,405,405,405
4,5,408,408,408,408
5,6,411,594,411,594
6,7,613,619,613,619
7,8,660,766,660,766
8,9,773,923,773,923
9,10,1026,1135,1026,1135
10,11,1140,1140,1140,1140
11,12,1142,1144,1142,1144
12,13,1259,1259,1259,1259
13,14,1346,1425,1346,1425
14,15,1445,1446,1445,1446
15,16,1451,1461,1451,1461
16,17,1482,1533,1482,1533
17,18,1572,1633,1572,1633
18,19,1642,1642,1642,1642
19,20,1660,1761,1660,1761
20,21,1877,1877,1877,1877
21,22,1880,1880,1880,1880
22,23,1882,1884,1882,1884
23,24,2069,2208,2069,2208
24,25,2221,2382,2221,2382
25,26,2386,2386,2386,2386
26,27,2452,2452,2452,2452
27,28,2455,2529,2455,2529
28,29,2534,2534,2534,2534
29,30,2547,2616,2547,2616
30,31,2719,2854,2719,2854
31,32,2904,2904,2904,2904
32,33,2906,2906,2906,2906
33,34,2908,2908,2908,2908
34,35,3059,3059,3059,3059
35,36,3191,3191,3191,3191
36,37,3208,3208,3208,3208
37,38,3240,3240,3240,3240
38,39,3349,3349,3349,3349
39,40,3352,3467,3352,3467
40,41,3473,3520,3473,3520
41,42,3570,3697,3570,3697
42,43,3736,3736,3736,3736
43,44,3745,3745,3745,3745
44,45,3820,3821,3820,3821
45,46,3959,3963,3959,3963
46,47,4017,4085,4017,4085
47,48,4106,4124,4106,4124
48,49,4130,4188,4130,4188
49,50,4212,4310,4212,4310
50,51,4314,4314,4314,4314
51,52,4316,4316,4316,4316
52,53,4318,4318,4318,4318
53,54,4904,4971,4904,4971
54,55,4974,5121,4974,5121
55,56,5124,5159,5124,5159
56,57,6218,6218,6218,6218
57,58,6237,6396,6237,6396
58,59,6450,6551,6450,6551
59,60,6626,6700,6626,6700
60,61,6719,6771,6719,6771
61,62,6785,6882,6785,6882
62,63,6885,6885,6885,6885
63,64,6887,6887,6887,6887
64,65,7356,7476,7356,7476
65,66,7481,7489,7481,7489
66,67,7498,7498,7498,7498
67,68,7607,7702,7607,7702
68,69,7717,7888,7717,7888
69,70,7891,7891,7891,7891
70,71,7921,7934,7921,7934
71,72,8556,8567,8556,8567
72,73,8571,8571,8571,8571
73,74,8617,8778,8617,8778
74,75,8823,8870,8823,8870
75,76,8891,8986,8891,8986
76,77,9059,9059,9059,9059
77,78,9124,9124,9124,9124
78,79,9129,9141,9129,9141
79,80,9275,9333,9275,9333
80,81,9342,9393,9342,9393
81,82,9422,9503,9422,9503
82,83,9506,9508,9506,9508
83,84,9625,9625,9625,9625
84,85,9627,9627,9627,9627
85,86,9630,9632,9630,9632
86,87,9835,9974,9835,9974
87,88,9993,10089,9993,10089
88,89,10202,10202,10202,10202
89,90,10214,10214,10214,10214
90,91,10218,10218,10218,10218
91,92,10241,10312,10241,10312
92,93,10330,10366,10330,10366
93,94,10376,10510,10376,10510
94,95,10512,10519,10512,10519
95,96,10523,10525,10523,10525
96,97,10527,10527,10527,10527
97,98,10530,10533,10530,10533
98,99,10535,10540,10535,10540
99,100,10600,10709,10600,10709
100,101,10721,10786,10721,10786
101,102,10792,10918,10792,10918
102,103,11164,11164,11164,11164
103,104,11166,11166,11166,11166
104,105,11169,11169,11169,11169
105,106,11209,11320,11209,11320
106,107,11383,11470,11383,11470
107,108,11491,11566,11491,11566
108,109,11658,11658,11658,11658
109,110,11660,11843,11660,11843
110,111,12143,12358,12143,12358
111,112,12414,12421,12414,12421
112,113,12429,12445,12429,12445
113,114,12490,12593,12490,12593
114,115,12721,12726,12721,12726
115,116,12790,12790,12790,12790
116,117,12891,13198,12891,13198
117,118,13221,13265,13221,13265
118,119,13268,13289,13268,13289
119,120,13561,13561,13561,13561
120,121,13614,13640,13614,13640
121,122,13645,13725,13645,13725
122,123,13731,13905,13731,13905
123,124,13910,13910,13910,13910
124,125,13957,13961,13957,13961
125,126,14084,14237,14084,14237
126,127,14271,14439,14271,14439
127,128,14548,14548,14548,14548
128,129,14550,14550,14550,14550
129,130,14559,14559,14559,14559
130,131,14590,14686,14590,14686
131,132,14710,14710,14710,14710
132,133,14712,14826,14712,14826
133,134,15308,15308,15308,15308
134,135,15327,15327,15327,15327
135,136,15379,15387,15379,15387
136,137,15396,15408,15396,15408
137,138,15418,15473,15418,15473
138,139,15489,15687,15489,15687
139,140,15706,15708,15706,15708
140,141,15860,15863,15860,15863
141,142,15885,15886,15885,15886
142,143,16062,16163,16062,16163
143,144,16166,16172,16166,16172
144,145,16187,16236,16187,16236
145,146,16238,16365,16238,16365
146,147,16533,16554,16533,16554
147,148,16564,16564,16564,16564
148,149,16566,16582,16566,16582
149,150,16633,16633,16633,16633
150,151,16635,16635,16635,16635
151,152,16746,16746,16746,16746
152,153,16748,16753,16748,16753
153,154,16789,16901,16789,16901
154,155,16952,17048,16952,17048
155,156,17213,17227,17213,17227
156,157,17277,17277,17277,17277
157,158,17508,17540,17508,17540
158,159,17765,17765,17765,17765
159,160,17767,17768,17767,17768
160,161,17796,17797,17796,17797
161,162,17844,17847,17844,17847
162,163,17897,17897,17897,17897
163,164,17998,18142,17998,18142
164,165,18199,18325,18199,18325
165,166,18372,18372,18372,18372
166,167,18406,18453,18406,18453
167,168,18466,18471,18466,18471
168,169,18535,18653,18535,18653
169,170,18670,18745,18670,18745
170,171,18799,18799,18799,18799
171,172,18801,18801,18801,18801
